cpu_processing,mem_processing,RESIDUE,            TPR,CLASS
0.237,0.843,0.606,279,0
0.218,0.844,0.626,279,0
0.724,0.844,0.12,260,1
0.31,0.845,0.535,280,0
0.389,0.862,0.473,280,0
0.67,0.762,0.092,265,1
0.384,0.829,0.445,266,0
0.241,0.808,0.567,266,0
0.248,0.806,0.558,266,0
0.666,0.724,0.058,243,1
0.218,0.805,0.587,266,0
0.234,0.805,0.571,266,0
0.309,0.805,0.496,266,0
0.179,0.804,0.625,265,0
0.266,0.802,0.536,265,0
0.227,0.803,0.576,265,0
0.216,0.804,0.588,265,0
0.22,0.804,0.584,265,0
0.185,0.803,0.618,265,0
0.224,0.803,0.579,265,0
0.18,0.803,0.623,264,0
0.186,0.804,0.618,264,0
0.273,0.804,0.531,264,0
0.188,0.802,0.614,264,0
0.293,0.801,0.508,264,0
0.22,0.8,0.58,264,0
0.282,0.799,0.517,264,0
0.168,0.799,0.631,264,0
0.21,0.799,0.589,260,0
0.277,0.792,0.515,259,0
0.169,0.791,0.622,259,0
0.313,0.79,0.477,259,0
0.224,0.79,0.566,259,0
0.292,0.789,0.497,259,0
0.243,0.785,0.542,259,0
0.237,0.784,0.547,259,0
0.192,0.784,0.592,259,0
0.189,0.783,0.594,259,0
0.172,0.783,0.611,259,0
0.227,0.784,0.557,259,0
0.2,0.784,0.584,259,0
0.256,0.785,0.529,259,0
0.284,0.785,0.501,259,0
0.33,0.788,0.458,259,0
0.375,0.794,0.419,259,0
0.387,0.796,0.409,259,0
0.154,0.796,0.642,258,0
0.244,0.795,0.551,258,0
0.266,0.795,0.529,258,0
0.211,0.797,0.586,258,0
0.156,0.792,0.636,259,0
0.2,0.795,0.595,259,0
0.293,0.807,0.514,259,0
0.252,0.809,0.557,261,0
0.111,0.809,0.698,261,0
0.172,0.806,0.634,261,0
0.241,0.809,0.568,261,0
0.273,0.812,0.539,261,0
0.393,0.808,0.415,261,0
0.294,0.807,0.513,261,0
0.267,0.808,0.541,261,0
0.214,0.807,0.593,261,0
0.213,0.807,0.594,260,0
0.235,0.807,0.572,260,0
0.216,0.805,0.589,260,0
0.265,0.805,0.54,260,0
0.257,0.805,0.548,260,0
0.296,0.805,0.509,259,0
0.458,0.807,0.349,260,0
0.15,0.807,0.657,260,0
0.129,0.807,0.678,260,0
0.132,0.806,0.674,260,0
0.211,0.805,0.594,260,0
0.181,0.806,0.625,260,0
0.172,0.806,0.634,260,0
0.157,0.804,0.647,260,0
0.169,0.805,0.636,260,0
0.203,0.805,0.602,260,0
0.213,0.805,0.592,260,0
0.207,0.805,0.598,260,0
0.247,0.805,0.558,260,0
0.241,0.806,0.565,260,0
0.213,0.806,0.593,260,0
0.217,0.806,0.589,260,0
0.193,0.805,0.612,260,0
0.137,0.806,0.669,260,0
0.135,0.805,0.67,260,0
0.15,0.806,0.656,260,0
0.227,0.816,0.589,264,0
0.435,0.839,0.404,265,0
0.592,0.862,0.27,268,0
0.788,0.88,0.092,269,0
0.635,0.899,0.264,271,0
0.907,0.849,-0.058,274,0
0.705,0.853,0.148,272,0
0.295,0.85,0.555,273,0
0.27,0.849,0.579,273,0
0.13,0.848,0.718,273,0
0.187,0.847,0.66,273,0
0.208,0.845,0.637,273,0
0.171,0.846,0.675,273,0
0.114,0.844,0.73,273,0
0.238,0.842,0.604,273,0
0.359,0.843,0.484,275,0
0.315,0.85,0.535,275,0
0.34,0.85,0.51,275,0
0.272,0.834,0.562,275,0
0.306,0.779,0.473,262,0
0.257,0.753,0.496,261,0
0.22,0.755,0.535,261,0
0.218,0.755,0.537,261,0
0.274,0.755,0.481,261,0
0.299,0.754,0.455,261,0
0.228,0.754,0.526,261,0
0.27,0.753,0.483,261,0
0.189,0.752,0.563,261,0
0.175,0.752,0.577,261,0
0.096,0.752,0.656,261,0
0.294,0.754,0.46,261,0
0.215,0.754,0.539,261,0
0.353,0.728,0.375,261,0
0.255,0.726,0.471,261,0
0.126,0.726,0.6,261,0
0.226,0.725,0.499,261,0
0.227,0.724,0.497,261,0
0.264,0.724,0.46,261,0
0.211,0.724,0.513,260,0
0.131,0.724,0.593,260,0
0.341,0.745,0.404,262,0
0.54,0.755,0.215,262,0
0.54,0.777,0.237,262,0
0.602,0.789,0.187,261,0
0.602,0.811,0.209,262,0
0.66,0.806,0.146,262,0
0.732,0.815,0.083,264,0
0.416,0.827,0.411,264,0
0.21,0.819,0.609,264,0
0.338,0.819,0.481,264,0
0.319,0.814,0.495,264,0
0.291,0.806,0.515,264,0
0.214,0.805,0.591,264,0
0.193,0.801,0.608,264,0
0.237,0.803,0.566,264,0
0.276,0.798,0.522,264,0
0.276,0.797,0.521,264,0
0.335,0.796,0.461,264,0
0.306,0.798,0.492,264,0
0.359,0.8,0.441,264,0
0.305,0.8,0.495,264,0
0.178,0.786,0.608,267,0
0.256,0.787,0.531,267,0
0.295,0.787,0.492,267,0
0.199,0.786,0.587,267,0
0.283,0.786,0.503,267,0
0.263,0.786,0.523,267,0
0.16,0.786,0.626,267,0
0.148,0.786,0.638,267,0
0.244,0.786,0.542,267,0
0.408,0.817,0.409,272,0
0.525,0.83,0.305,275,0
0.792,0.86,0.068,277,0
0.697,0.882,0.185,281,0
0.659,0.881,0.222,279,0
0.575,0.88,0.305,279,0
0.279,0.881,0.602,279,0
0.338,0.883,0.545,281,0
0.201,0.883,0.682,281,0
0.252,0.88,0.628,281,0
0.278,0.88,0.602,281,0
0.258,0.878,0.62,281,0
0.271,0.881,0.61,281,0
0.302,0.879,0.577,281,0
0.32,0.874,0.554,280,0
0.34,0.877,0.537,282,0
0.419,0.882,0.463,282,0
0.365,0.865,0.5,282,0
0.23,0.871,0.641,282,0
0.165,0.871,0.706,282,0
0.267,0.869,0.602,282,0
0.31,0.868,0.558,282,0
0.242,0.868,0.626,282,0
0.183,0.868,0.685,282,0
0.174,0.877,0.703,282,0
0.206,0.875,0.669,282,0
0.374,0.868,0.494,282,0
0.393,0.867,0.474,282,0
0.275,0.866,0.591,282,0
0.157,0.866,0.709,282,0
0.194,0.867,0.673,282,0
0.225,0.865,0.64,282,0
0.398,0.862,0.464,282,0
0.428,0.864,0.436,282,0
0.418,0.867,0.449,282,0
0.352,0.872,0.52,283,0
0.342,0.877,0.535,282,0
0.294,0.872,0.578,282,0
0.227,0.872,0.645,282,0
0.238,0.871,0.633,282,0
0.357,0.872,0.515,282,0
0.247,0.88,0.633,282,0
0.283,0.88,0.597,282,0
0.173,0.878,0.705,282,0
0.12,0.878,0.758,282,0
0.093,0.873,0.78,282,0
0.137,0.872,0.735,282,0
0.131,0.872,0.741,282,0
0.317,0.869,0.552,282,0
0.266,0.869,0.603,282,0
0.143,0.869,0.726,282,0
0.244,0.867,0.623,282,0
0.242,0.866,0.624,282,0
0.214,0.866,0.652,282,0
0.202,0.866,0.664,282,0
0.223,0.866,0.643,282,0
0.25,0.866,0.616,282,0
0.232,0.873,0.641,282,0
0.188,0.874,0.686,282,0
0.278,0.875,0.597,282,0
0.418,0.876,0.458,282,0
0.391,0.873,0.482,283,0
0.332,0.875,0.543,283,0
0.354,0.88,0.526,283,0
0.373,0.883,0.51,283,0
0.459,0.883,0.424,283,0
0.521,0.883,0.362,283,0
0.399,0.88,0.481,283,0
0.321,0.879,0.558,283,0
0.25,0.876,0.626,283,0
0.241,0.875,0.634,283,0
0.228,0.875,0.647,283,0
0.152,0.875,0.723,283,0
0.239,0.873,0.634,283,0
0.232,0.874,0.642,283,0
0.206,0.874,0.668,283,0
0.141,0.872,0.731,283,0
0.182,0.873,0.691,283,0
0.204,0.873,0.669,282,0
0.128,0.875,0.747,282,0
0.19,0.874,0.684,282,0
0.228,0.874,0.646,282,0
0.259,0.874,0.615,282,0
0.305,0.874,0.569,282,0
0.213,0.874,0.661,282,0
0.254,0.874,0.62,282,0
0.311,0.874,0.563,282,0
0.365,0.873,0.508,282,0
0.471,0.872,0.401,282,0
0.157,0.872,0.715,282,0
0.2,0.876,0.676,283,0
0.299,0.878,0.579,283,0
0.292,0.884,0.592,284,0
0.263,0.883,0.62,284,0
0.216,0.883,0.667,284,0
0.23,0.89,0.66,284,0
0.225,0.89,0.665,284,0
0.186,0.89,0.704,284,0
0.24,0.89,0.65,284,0
0.255,0.888,0.633,284,0
0.249,0.888,0.639,284,0
0.201,0.887,0.686,284,0
0.2,0.887,0.687,284,0
0.222,0.887,0.665,284,0
0.175,0.885,0.71,284,0
0.197,0.885,0.688,284,0
0.194,0.884,0.69,284,0
0.133,0.883,0.75,284,0
0.174,0.884,0.71,284,0
0.155,0.883,0.728,283,0
0.253,0.882,0.629,284,0
0.265,0.882,0.617,284,0
0.35,0.885,0.535,285,0
0.378,0.873,0.495,284,0
0.2,0.872,0.672,284,0
0.199,0.872,0.673,284,0
0.182,0.871,0.689,285,0
0.385,0.874,0.489,284,0
0.293,0.873,0.58,284,0
0.229,0.873,0.644,284,0
0.247,0.872,0.625,284,0
0.258,0.874,0.616,284,0
0.281,0.883,0.602,285,0
0.227,0.878,0.651,285,0
0.345,0.878,0.533,285,0
0.32,0.885,0.565,285,0
0.3,0.885,0.585,285,0
0.241,0.885,0.644,285,0
0.278,0.885,0.607,285,0
0.155,0.885,0.73,285,0
0.271,0.884,0.613,285,0
0.267,0.873,0.606,285,0
0.249,0.874,0.625,285,0
0.18,0.874,0.694,285,0
0.227,0.874,0.647,285,0
0.188,0.874,0.686,285,0
0.196,0.875,0.679,285,0
0.24,0.875,0.635,285,0
0.326,0.875,0.549,285,0
0.29,0.875,0.585,285,0
0.283,0.875,0.592,285,0
0.267,0.875,0.608,285,0
0.281,0.875,0.594,285,0
0.218,0.873,0.655,285,0
0.241,0.874,0.633,285,0
